id,value
7053207770,7959.249993241044
7052756696,26126.978028499092
7052756363,3771.216716998047
7053197787,18153.509265068424
7052888932,48548.689987474034
7053489668,8194.728544582953
7053103348,3991.1522309854827
7053315584,79759.4597069839
7053199476,35301.034427264356
7052450606,13207.65151260569
7049240832,25287.316191825757
7052859858,49854.12916747449
7053114447,23837.907230576708
7053128302,29276.135236964325
7052857097,22155.78960153901
7052777389,78293.6166461191
7053127342,3788.5188015870926
7053439040,12093.634243215698
7053298852,18243.288776898182
7053298856,32638.712925913693
7053119962,61836.05713448025
7053206505,29793.638582559266
7053154918,13526.670285224794
7052654123,11940.80485456966
7053199279,14490.902522343225
7052751529,75023.14040604813
7052893154,20517.63281855072
7053488880,14716.119630561825
7053508899,56884.17967447726
7053200523,8546.550569027459
7053539119,12424.291540792687
7052680971,33010.39578396061
7053373802,12127.23537482642
7053291099,7235.76473996294
7053173479,12707.664790421373
7053536431,45335.23968905545
7053301285,22604.73835979041
7052799531,58588.36883497744
7050114806,6335.267123977696
7051234984,23011.461033224376
7053399495,9884.893910660221
7052788258,15130.005252906427
7053146052,23073.877091321643
7051146779,91982.1510296372
7049483678,10905.771722004818
7053160943,77035.76348567358
7053200826,6392.9084253478
7053147947,34847.58856643827
7053122815,10787.29276926277
7053295854,9457.75986820156
7053371892,6618.427459761045
7051923217,50704.78885898335
7053258708,48119.65031999726
7053171906,20545.84287384106
7052016283,30117.247258812815
7053162185,37588.659815340405
7050457856,23122.535873186556
7052879866,10499.382699221678
7050929239,3096.749763981637
7050957975,4713.045975716214
7053119161,8669.213936758257
7053200564,32882.238404601085
7052533691,21852.21699574296
7053201740,46826.328767398794
7049759398,12292.98621394064
7053141487,16408.661568227497
7053199589,7635.8652245282865
7053014357,33917.938199706026
7053060177,12404.037241195998
7053131497,8199.220290075784
7052657031,64011.708585809385
7053453702,100014.25003095368
7049411689,5467.22329888192
7052784027,205954.13286131687
7052565300,22365.688690621166
7052685332,91949.59674923845
7053202702,10360.856430895605
7050307791,21758.301753114352
7053517768,21134.715559600423
7051653381,12681.316070694347
7053141893,13742.026820550838
7053492863,21878.45025096037
7053141124,8295.540810492565
7053528078,27253.972627973104
7053101517,12096.834449200265
7051943456,11558.7695783342
7053175942,233185.7697728575
7052207356,8359.085055548576
7053195825,10693.907375737224
7053207669,10601.235314727228
7053530982,5333.566051585941
7053001850,5577.208314752323
7053204758,5060.914129382613
